Event,EntryIndex,EntryTime,EntryPrice,ExitIndex,ExitTime,ExitPrice,TradePnL,CumulativePnL,Equity
ENTRY,3288,2025-05-22 14:04:00+05:30,915.6,,,,,,
EXIT,3288,2025-05-22 14:04:00+05:30,915.6,3300,2025-05-22 14:16:00+05:30,898.35,-17.25,-6.75,99993.2
ENTRY,3325,2025-05-22 14:41:00+05:30,918.4,,,,,,
EXIT,3325,2025-05-22 14:41:00+05:30,918.4,3442,2025-05-23 10:23:00+05:30,1092.5,174.1,167.35,100167
ENTRY,3463,2025-05-23 10:44:00+05:30,1115,,,,,,
EXIT,3463,2025-05-23 10:44:00+05:30,1115,3490,2025-05-23 11:11:00+05:30,1179.8,64.8,232.15,100232
ENTRY,3514,2025-05-23 11:35:00+05:30,1183,,,,,,
EXIT,3514,2025-05-23 11:35:00+05:30,1183,3524,2025-05-23 11:45:00+05:30,1150.35,-32.65,199.5,100200
ENTRY,3548,2025-05-23 12:09:00+05:30,1142,,,,,,
EXIT,3548,2025-05-23 12:09:00+05:30,1142,3557,2025-05-23 12:18:00+05:30,1133.35,-8.65,190.85,100191
ENTRY,3563,2025-05-23 12:24:00+05:30,1151.2,,,,,,
EXIT,3563,2025-05-23 12:24:00+05:30,1151.2,3594,2025-05-23 12:55:00+05:30,1192.05,40.85,231.7,100232
ENTRY,3596,2025-05-23 12:57:00+05:30,1187.15,,,,,,
EXIT,3596,2025-05-23 12:57:00+05:30,1187.15,3614,2025-05-23 13:15:00+05:30,1178.1,-9.05,222.65,100223
ENTRY,3628,2025-05-23 13:29:00+05:30,1179.9,,,,,,
EXIT,3628,2025-05-23 13:29:00+05:30,1179.9,3634,2025-05-23 13:35:00+05:30,1166.75,-13.15,209.5,100210
ENTRY,3659,2025-05-23 14:00:00+05:30,1176.05,,,,,,
EXIT,3659,2025-05-23 14:00:00+05:30,1176.05,3676,2025-05-23 14:17:00+05:30,1148.95,-27.1,182.4,100182
ENTRY,3690,2025-05-23 14:31:00+05:30,1165.55,,,,,,
EXIT,3690,2025-05-23 14:31:00+05:30,1165.55,3702,2025-05-23 14:43:00+05:30,1148.15,-17.4,165,100165
ENTRY,3727,2025-05-23 15:08:00+05:30,1137.65,,,,,,
EXIT,3727,2025-05-23 15:08:00+05:30,1137.65,3737,2025-05-23 15:18:00+05:30,1131,-6.65,158.35,100158
ENTRY,3748,2025-05-23 15:29:00+05:30,1140.5,,,,,,
